"RACE_CODE","LONG_DESC","SHORT_DESC","EFF_DATE_FROM","EFF_DATE_TO","EFF_STATUS","ADDED_BY_ID","ADDED_DATE","ADDED_AT_WS_NO","ADDED_FACILITY_ID","MODIFIED_BY_ID","MODIFIED_DATE","MODIFIED_AT_WS_NO","MODIFIED_FACILITY_ID"
"0100",Melayu,Melayu,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0200",Cina,Cina,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0300",India,India,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0800",Pribumi Sabah Lain,P/B Sabah Lain,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0801",Bajau,Bajau,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0803",Kadazan,Kadazan,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0804",Murut,Murut,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"0913",Melanau,Melanau,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1000",Pribumi Sarawak Lain,P/B S'wak Lain,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1003",Kedayan,Kedayan,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1004",Iban,Iban,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1005",Bidayuh,Bidayuh,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1200",Orang Asli Semenanjung,O/A Semenanjung,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1301",Lain Lain,Lain Lain,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1302",Bukan Warganegara,Bukan W/negara,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"1802",Dusun,Dusun,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
"9999",Maklumat Tiada,Maklumat Tiada,,,E,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK,CSCPMS,2016-03-17 00:00:01,CSCMYSAE699392,WK
